cluster_id,n_children,stunting_rate,severe_rate,mean_haz,region,urban_rural,mean_wealth_q,mean_maternal_edu
1,6.0,33.333333333333336,0.0,-1.4316666666666669,1.0,2.0,4.666666666666667,9.833333333333334
2,5.0,20.0,0.0,-0.91,2.0,2.0,1.6,4.2
3,5.0,40.0,20.0,-1.8059999999999998,4.0,2.0,2.6,4.4
4,7.0,57.14285714285714,14.285714285714285,-2.2842857142857147,4.0,2.0,2.285714285714286,3.428571428571429
5,10.0,0.0,0.0,-0.3950000000000001,5.0,2.0,4.300000000000001,7.1
6,10.0,20.0,0.0,-1.0210000000000001,5.0,2.0,2.8,5.7
7,10.0,40.0,30.000000000000004,-1.856,3.0,2.0,2.6000000000000005,5.4
8,7.0,14.285714285714283,0.0,-1.4471428571428566,3.0,2.0,1.7142857142857142,2.9999999999999996
9,10.0,40.0,10.0,-1.7810000000000001,2.0,2.0,2.4,4.8
10,9.0,44.44444444444444,11.11111111111111,-1.7577777777777774,4.0,2.0,1.6666666666666665,3.8888888888888893
11,10.0,20.0,0.0,-1.0170000000000001,4.0,1.0,3.8000000000000003,7.7
12,11.0,36.36363636363637,0.0,-1.2381818181818185,5.0,2.0,3.0000000000000004,5.818181818181818
13,14.0,64.28571428571426,14.285714285714283,-2.138571428571428,4.0,2.0,1.7142857142857142,3.571428571428571
14,4.0,0.0,0.0,-0.7424999999999999,1.0,1.0,4.75,11.25
15,6.0,16.666666666666664,0.0,-0.39166666666666666,1.0,1.0,4.666666666666667,10.499999999999998
16,5.0,20.0,0.0,-1.3739999999999999,2.0,2.0,1.4000000000000001,4.0
17,5.0,59.999999999999986,0.0,-2.168,5.0,2.0,2.3999999999999995,2.5999999999999996
18,16.0,43.75000000000001,12.5,-1.7093749999999996,3.0,2.0,2.0625000000000004,0.5
19,8.0,37.5,12.5,-1.9049999999999998,5.0,2.0,2.5,6.625
20,6.0,33.33333333333333,0.0,-1.055,3.0,2.0,2.5,6.333333333333333
21,10.0,60.0,10.0,-1.299,2.0,2.0,1.4999999999999998,4.0
22,6.0,50.0,33.33333333333333,-1.93,2.0,2.0,1.5,4.666666666666667
23,9.0,33.33333333333333,22.22222222222222,-1.7577777777777779,2.0,2.0,2.333333333333333,3.7777777777777777
24,4.0,25.0,25.0,-1.7875,4.0,2.0,1.75,5.5
